R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
1.658	0.401	9.000	25.000	21.000	46.000	0.070	0.000	0.000	0.050	0.070	0.080	0.020	0.050	0.090	0.000	0.170	0.160	0.040	0.020	0.040	0.040	0.080	0.020	0.000
1.145	0.346	8.000	33.000	34.000	67.000	0.020	0.030	0.030	0.010	0.060	0.050	0.020	0.110	0.130	0.000	0.180	0.150	0.070	0.030	0.030	0.000	0.030	0.020	0.030
0.952	0.315	9.000	32.000	31.000	63.000	0.030	0.010	0.030	0.010	0.010	0.040	0.090	0.110	0.150	0.010	0.180	0.140	0.030	0.050	0.060	0.010	0.000	0.000	0.040
3.156	0.346	7.000	43.000	27.000	70.000	0.060	0.040	0.010	0.040	0.050	0.000	0.020	0.080	0.170	0.010	0.140	0.110	0.060	0.060	0.030	0.020	0.040	0.060	0.000
1.035	0.265	9.000	48.000	17.000	65.000	0.020	0.020	0.030	0.030	0.020	0.040	0.060	0.080	0.180	0.000	0.180	0.090	0.080	0.050	0.080	0.010	0.010	0.000	0.020
1.620	0.273	9.000	29.000	21.000	50.000	0.040	0.010	0.020	0.040	0.090	0.020	0.060	0.080	0.100	0.010	0.150	0.140	0.030	0.060	0.020	0.040	0.050	0.020	0.020
1.577	0.329	9.000	39.000	16.000	55.000	0.020	0.070	0.010	0.030	0.060	0.040	0.020	0.060	0.120	0.000	0.210	0.100	0.060	0.030	0.070	0.050	0.020	0.020	0.010
0.778	0.307	8.000	29.000	27.000	56.000	0.020	0.050	0.010	0.040	0.030	0.040	0.050	0.120	0.170	0.010	0.110	0.110	0.020	0.040	0.040	0.060	0.030	0.010	0.040
0.665	0.400	9.000	38.000	22.000	60.000	0.000	0.030	0.020	0.020	0.000	0.140	0.020	0.120	0.180	0.000	0.140	0.100	0.050	0.040	0.080	0.000	0.010	0.030	0.020
1.287	0.325	8.000	37.000	41.000	78.000	0.030	0.010	0.000	0.020	0.060	0.050	0.010	0.160	0.150	0.010	0.160	0.160	0.040	0.030	0.020	0.010	0.060	0.010	0.010
0.735	0.281	7.000	38.000	27.000	65.000	0.010	0.000	0.030	0.020	0.020	0.030	0.060	0.170	0.190	0.010	0.130	0.100	0.110	0.030	0.040	0.020	0.000	0.020	0.010
0.748	0.319	9.000	36.000	31.000	67.000	0.050	0.020	0.020	0.050	0.020	0.000	0.020	0.120	0.210	0.000	0.110	0.120	0.070	0.050	0.050	0.030	0.030	0.010	0.020
1.075	0.312	9.000	36.000	37.000	73.000	0.030	0.020	0.030	0.000	0.040	0.030	0.050	0.100	0.120	0.010	0.210	0.190	0.080	0.010	0.020	0.000	0.040	0.000	0.020
